type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb
video	post_page_15704546335	15704546335_10156561802461336	https://www.facebook.com/15704546335/posts/10156561802461336	" Who came up with that stupid idea of making Mexico pay for the wall?    Former Mexican President Vicente Fox Quesada and Sean Hannity debate the merits of a border wall between the U.S. and Mexico.  http://bit.ly/2DGNsJG"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/27245066_10156561810421336_97016005477269504_n.jpg?oh=52174e48ebdd07862e22eec6c34d41bb&oe=5AF4A55D	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/27245066_10156561810421336_97016005477269504_n.jpg?oh=e597fdc0550398ecc56b9b5c91660588&oe=5ADFB2E7	https://www.facebook.com/FoxNews/videos/10156561802461336/	facebook.com	2018-01-24T04:00:01+0000	1516766401	"2018-01-24 05:00:01"	2346	2258	3238	1080	6576
link	post_page_15704546335	15704546335_10156560529251336	https://www.facebook.com/15704546335/posts/10156560529251336	"Senator Chuck Schumer is taking heat from some of the most influential and deep-pocketed groups in the liberal base for caving to Republicans in the shutdown standoff."	https://external.xx.fbcdn.net/safe_image.php?d=AQChvlyqf-PmBQJ8&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2018%2F01%2F22%2F0%2F0%2F694940094001_5716929451001_5716924062001-vs.jpg%3Fve%3D1&cfs=1&sx=238&sy=0&sw=503&sh=503&_nc_hash=AQASPQ637iYeWumf	https://external.xx.fbcdn.net/safe_image.php?d=AQC1zrYsJfSxaQSe&url=http%3A%2F%2Fa57.foxnews.com%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2018%2F01%2F22%2F0%2F0%2F694940094001_5716929451001_5716924062001-vs.jpg%3Fve%3D1&_nc_hash=AQCAAF5BnT6f41pN	http://fxn.ws/2G6aPea	fxn.ws	2018-01-24T03:30:00+0000	1516764600	"2018-01-24 04:30:00"	1067	1404	2910	243	4557
video	post_page_15704546335	15704546335_10156559592711336	https://www.facebook.com/15704546335/posts/10156559592711336	"A service dog had a magical experience on a recent trip to Walt Disney World after meeting his favorite character  Pluto! http://fxn.ws/2n2OipV"	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/26707061_10156559616461336_8534086110047895552_n.jpg?oh=f8a17ce48f3e0eba236bd9028fc48c71&oe=5AE8A373	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/26707061_10156559616461336_8534086110047895552_n.jpg?oh=ec39897bbdaee60ababaa9f3c01dd4c7&oe=5ADA5881	https://www.facebook.com/FoxNews/videos/10156559592711336/	facebook.com	2018-01-24T03:00:01+0000	1516762801	"2018-01-24 04:00:01"	4317	514	6486	1395	8395
photo	post_page_15704546335	15704546335_10156561547251336	https://www.facebook.com/15704546335/posts/10156561547251336	"The White House Press Secretary Sarah Sanders issued this response when asked if a deal on immigration could be made by the February 8 deadline. http://fxn.ws/2n1jjLS"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/26992136_10156561547251336_5439927517404408945_n.jpg?oh=079310f22dd06605c6b90f763c022ea5&oe=5AE1E618	https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/27021267_10156561547251336_5439927517404408945_o.jpg?oh=b0e31b4eca992f0cde3544c72b36e427&oe=5AD9B4DC	https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10156561547251336/?type=3	facebook.com	2018-01-24T02:30:55+0000	1516761055	"2018-01-24 03:30:55"	4989	837	5515	351	6703
video	post_page_15704546335	15704546335_10156561146771336	https://www.facebook.com/15704546335/posts/10156561146771336	"GNARLY!: One surfer rode this monstrous wave off the coast of Portugal."	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/26709466_10156561149296336_4370374367528353792_n.jpg?oh=dddb8e9aeecef106cd507fce9005e56a&oe=5AE81B44	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/26709466_10156561149296336_4370374367528353792_n.jpg?oh=a9fa61ef9f62f00e3481667b55ea99e6&oe=5AE264B6	https://www.facebook.com/FoxNews/videos/10156561146771336/	facebook.com	2018-01-24T01:59:44+0000	1516759184	"2018-01-24 02:59:44"	2777	571	4290	1173	6034
photo	post_page_15704546335	15704546335_10156561374326336	https://www.facebook.com/15704546335/posts/10156561374326336	"U.N. Ambassador Nikki Haley strongly criticized Russia at a Security Council meeting on Syrian chemical weapons Tuesday  calling the nation “complicit in the Assad regime’s atrocities.”  http://fxn.ws/2F6LHCD"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/26904585_10156561374326336_5999428716236521069_n.jpg?oh=c4578771c84a69f6fee0ddd8935d5fb7&oe=5AF81779	https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/27023347_10156561374326336_5999428716236521069_o.jpg?oh=b9b98e14a2bdb16e53318f6c9d750d47&oe=5AF4226C	https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10156561374326336/?type=3	facebook.com	2018-01-24T01:30:52+0000	1516757452	"2018-01-24 02:30:52"	3567	703	3928	343	4974
link	post_page_15704546335	15704546335_10156561368051336	https://www.facebook.com/15704546335/posts/10156561368051336	"Greg Gutfeld: Hawaii is  a state run by teenagers .  Hawaii Governor David Ige says he and his team took so long to post a message to social media about the recent missile alert being a false alarm because he didn t know his Twitter username and password."	https://external.xx.fbcdn.net/safe_image.php?d=AQAj9M6mmEqfgliA&w=130&h=130&url=http%3A%2F%2Finsider.foxnews.com%2Fsites%2Finsider.foxnews.com%2Ffiles%2Fstyles%2F780%2Fpublic%2FGreg%2520Gutfeld%2520on%2520Hawaii%2520Governor%2520Twitter%2520Snafu.jpg%3Fitok%3DgIV0P5N1&cfs=1&sx=43&sy=0&sw=439&sh=439&_nc_hash=AQBHnVqfKsdGGBMH	https://external.xx.fbcdn.net/safe_image.php?d=AQDxemPmHo2T_Q6b&url=http%3A%2F%2Finsider.foxnews.com%2Fsites%2Finsider.foxnews.com%2Ffiles%2Fstyles%2F780%2Fpublic%2FGreg%2520Gutfeld%2520on%2520Hawaii%2520Governor%2520Twitter%2520Snafu.jpg%3Fitok%3DgIV0P5N1&_nc_hash=AQAdfUrTM1_KAMGm	http://bit.ly/2n4PPM1	bit.ly	2018-01-24T01:00:03+0000	1516755603	"2018-01-24 02:00:03"	1114	971	3509	785	5265
video	post_page_15704546335	15704546335_10156561280806336	https://www.facebook.com/15704546335/posts/10156561280806336	" That  secret society  - we have an informant that s talking about a group  they were holding secret meetings offsite.   Senator Ron Johnson spoke to Bret Baier about an alleged  secret society  that was mentioned in text messages between FBI officials Peter Strzok and Lisa Page.  http://fxn.ws/2rzze8D"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/24596672_10156561294436336_4010778015922388992_n.jpg?oh=49d349c0d911799951e0774d9980d5d6&oe=5ADD8842	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/24596672_10156561294436336_4010778015922388992_n.jpg?oh=5e953dda85ba30339a66f7d880ee7237&oe=5ADB5FB0	https://www.facebook.com/FoxNews/videos/10156561280806336/	facebook.com	2018-01-24T00:32:24+0000	1516753944	"2018-01-24 01:32:24"	2524	2233	4939	2196	9368
video	post_page_15704546335	15704546335_10156561211711336	https://www.facebook.com/15704546335/posts/10156561211711336	"Officials gave an update on the fatal school shooting in Hickory  KY. http://fxn.ws/2Dw1jiZ  Courtesy: KFVS"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/26705986_10156561245101336_1490766071651631104_n.jpg?oh=e0bfea56cbac8be7775c1327839efff8&oe=5ADB899E	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/26705986_10156561245101336_1490766071651631104_n.jpg?oh=7e2c96b3b8066edf387789cc4662e051&oe=5B24816C	https://www.facebook.com/FoxNews/videos/10156561211711336/	facebook.com	2018-01-24T00:04:21+0000	1516752261	"2018-01-24 01:04:21"	767	3390	6258	1112	10760
link	post_page_15704546335	15704546335_10156561117116336	https://www.facebook.com/15704546335/posts/10156561117116336	"California this spring will begin automatically registering adults who obtain or renew a driver’s license to vote  including potentially large numbers of noncitizens and immigrants illegally living in the state."	https://external.xx.fbcdn.net/safe_image.php?d=AQDMeky6q1H8a6HZ&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2017%2F11%2F02%2F0%2F0%2F694940094001_5633004259001_5632983570001-vs.jpg%3Fve%3D1&cfs=1&sx=196&sy=0&sw=720&sh=720&_nc_hash=AQAW1otOJwGnW3NY	https://external.xx.fbcdn.net/safe_image.php?d=AQApNcXhEszYcktO&url=http%3A%2F%2Fa57.foxnews.com%2Fmedia2.foxnews.com%2FBrightCove%2F694940094001%2F2017%2F11%2F02%2F0%2F0%2F694940094001_5633004259001_5632983570001-vs.jpg%3Fve%3D1&_nc_hash=AQAWEIIQ11axgxf2	http://fxn.ws/2n1QJJk	fxn.ws	2018-01-23T23:43:24+0000	1516751004	"2018-01-24 00:43:24"	2586	16022	31104	9390	56516
video	post_page_15704546335	15704546335_10156560962696336	https://www.facebook.com/15704546335/posts/10156560962696336	"TERRIFYING: A school bus filled with children slid uncontrollably on an icy street in Sutton  Massachusetts."	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/27244581_10156560965271336_3538379622506823680_n.jpg?oh=6bb7439bdd933abc138b6be1467da3ec&oe=5ADA1520	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/27244581_10156560965271336_3538379622506823680_n.jpg?oh=76307ed98aac71c622a1d10c5001e31a&oe=5AE325D2	https://www.facebook.com/FoxNews/videos/10156560962696336/	facebook.com	2018-01-23T23:00:32+0000	1516748432	"2018-01-24 00:00:32"	2309	2813	8943	4944	16700
video	post_page_15704546335	15704546335_10156560972011336	https://www.facebook.com/15704546335/posts/10156560972011336	"Fox News shared Fox Business s video."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/27406388_10156134526500238_669059229297934336_n.jpg?oh=ff2cb5d9d74e85d48150a5f3684799c3&oe=5AF2A3A9	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/27406388_10156134526500238_669059229297934336_n.jpg?oh=58dc120c6b90ec22e59f98832ef9ff75&oe=5AEC148B	https://www.facebook.com/FoxBusiness/videos/10156134523010238/	facebook.com	2018-01-23T22:45:18+0000	1516747518	"2018-01-23 23:45:18"	1347	424	1497	32	1953
photo	post_page_15704546335	15704546335_10156560801411336	https://www.facebook.com/15704546335/posts/10156560801411336	"NFL spokesman Brian McCarthy told Fox News that the League rejected a Super Bowl ad from the American Veterans group due to its political nature because it contained the words  Please Stand . http://fxn.ws/2Dy4ZVg"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/26805402_10156560801411336_7584908436754033452_n.jpg?oh=3a291ad235e2b6ce65570016f9fdb613&oe=5AED3EFB	https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/24210436_10156560801411336_7584908436754033452_o.jpg?oh=6d8d339bc87e065b02c685b03dc159d9&oe=5B263F13	https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10156560801411336/?type=3	facebook.com	2018-01-23T22:05:18+0000	1516745118	"2018-01-23 23:05:18"	3481	11799	17791	9391	38981
link	post_page_15704546335	15704546335_10156560726556336	https://www.facebook.com/15704546335/posts/10156560726556336	"The Pentagon says it killed 150 ISIS fighters in an airstrike in eastern Syria while the U.S. federal government was shut down Saturday."	https://external.xx.fbcdn.net/safe_image.php?d=AQC6Aia4nMw5NBHB&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fworld%2F2018%2F01%2F23%2Fus-kills-150-isis-fighters-in-syria-airstrike-during-government-shutdown-pentagon-says%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516742694966.jpg%3Fve%3D1&cfs=1&_nc_hash=AQDOoVceu30GvkLq	https://external.xx.fbcdn.net/safe_image.php?d=AQDXzFwhk4T2nj37&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fworld%2F2018%2F01%2F23%2Fus-kills-150-isis-fighters-in-syria-airstrike-during-government-shutdown-pentagon-says%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516742694966.jpg%3Fve%3D1&_nc_hash=AQD1YtnjWfoNX0j5	http://fxn.ws/2E5kmSg	fxn.ws	2018-01-23T21:33:29+0000	1516743209	"2018-01-23 22:33:29"	17003	1655	20172	3261	25088
video	post_page_15704546335	15704546335_10156560436886336	https://www.facebook.com/15704546335/posts/10156560436886336	"WATCH: Press Secretary Sarah Sanders holds a briefing from The White House. She s joined by chief economic adviser Gary Cohn and national security adviser H.R. McMaster to answer questions from the press."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/27245476_10156560594006336_4601258812790276096_n.jpg?oh=d420e1a856aec884e64e695327955c03&oe=5AF3595E	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/27245476_10156560594006336_4601258812790276096_n.jpg?oh=119ef4d0c3d0cfb31c68c5ad3d77ca45&oe=5AF825AC	https://www.facebook.com/FoxNews/videos/10156560436886336/	facebook.com	2018-01-23T20:48:26+0000	1516740506	"2018-01-23 21:48:26"	6564	8166	10913	1500	20579
video	post_page_15704546335	15704546335_10156560530671336	https://www.facebook.com/15704546335/posts/10156560530671336	" The big loser here is Senator Chuck Schumer who shut down the government for no apparent reason...President Donald J. Trump  obviously  is a big winner here. He didn t have to give up anything in order to get past the government shutdown.   Ben Shapiro sat down with Fox & Friends Tuesday to discuss the Democrats  role in the government shutdown. http://fxn.ws/2G6aPea"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/27244155_10156560539586336_4954302921203253248_n.jpg?oh=74fc45bae801507fa759b6de988f7238&oe=5AEC6054	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/27244155_10156560539586336_4954302921203253248_n.jpg?oh=d3ce4707730b857207b1682901caa2d7&oe=5B267AA6	https://www.facebook.com/FoxNews/videos/10156560530671336/	facebook.com	2018-01-23T20:39:37+0000	1516739977	"2018-01-23 21:39:37"	4777	2033	5647	795	8475
link	post_page_15704546335	15704546335_10156560298566336	https://www.facebook.com/15704546335/posts/10156560298566336	"JUST IN: James Rybicki  who was chief of staff to former FBI Director James Comey and continued in the post under current Director Christopher Wray  is leaving the bureau  Fox News has learned."	https://external.xx.fbcdn.net/safe_image.php?d=AQD9QGb0YbSBCNBd&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fpolitics%2F2018%2F01%2F23%2Fjames-rybicki-who-was-chief-staff-to-james-comey-and-current-fbi-director-christopher-wray-has-quit%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516736496667.jpg%3Fve%3D1&cfs=1&_nc_hash=AQCZlNsKYDMcWMN9	https://external.xx.fbcdn.net/safe_image.php?d=AQBQIxiaycuiLjaW&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fpolitics%2F2018%2F01%2F23%2Fjames-rybicki-who-was-chief-staff-to-james-comey-and-current-fbi-director-christopher-wray-has-quit%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516736496667.jpg%3Fve%3D1&_nc_hash=AQDrgH96IZKbOdPg	http://www.foxnews.com/politics/2018/01/23/james-rybicki-who-was-chief-staff-to-james-comey-and-current-fbi-director-christopher-wray-has-quit.html	foxnews.com	2018-01-23T19:34:23+0000	1516736063	"2018-01-23 20:34:23"	2575	2454	3885	988	7327
video	post_page_15704546335	15704546335_10156560012891336	https://www.facebook.com/15704546335/posts/10156560012891336	"U.S. Department of State spokesperson Heather Nauert holds a briefing."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/20216048_10156560283526336_1912232595387580416_n.jpg?oh=9ec93c2e07620eb00df19e8d541398d7&oe=5AEFD8F4	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/20216048_10156560283526336_1912232595387580416_n.jpg?oh=873279b2f63744611600f78a2b06cbca&oe=5B212906	https://www.facebook.com/FoxNews/videos/10156560012891336/	facebook.com	2018-01-23T19:28:16+0000	1516735696	"2018-01-23 20:28:16"	2808	3781	3901	704	8386
video	post_page_15704546335	15704546335_10156560217856336	https://www.facebook.com/15704546335/posts/10156560217856336	" We re bringing business back to the United States for the first time in many  many years.   President Donald J. Trump recently signed an order imposing tariffs on imported solar panels and washing machines. http://fxn.ws/2DtfB3v"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/27246364_10156560227126336_3261385310298177536_n.jpg?oh=1903eabd6a64ed7a7a6994ac2a6b0c87&oe=5AE8CE24	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/27246364_10156560227126336_3261385310298177536_n.jpg?oh=312b300e4cb8488703d1b14e36139299&oe=5ADE66D6	https://www.facebook.com/FoxNews/videos/10156560217856336/	facebook.com	2018-01-23T19:14:07+0000	1516734847	"2018-01-23 20:14:07"	9380	3048	10944	936	14928
link	post_page_15704546335	15704546335_10156559758836336	https://www.facebook.com/15704546335/posts/10156559758836336	"Breaking UPDATE: At least two people were killed and 19 others were injured after a shooter opened fire at Marshall County High School in Benton  Kentucky  on Tuesday  officials said."	https://scontent.xx.fbcdn.net/v/t39.2147-6/c50.0.130.130/p130x130/26656120_10156559747091336_675092429988167680_n.jpg?oh=ad869f21c25dea18b1a023435d4bf505&oe=5AE7641F	https://scontent.xx.fbcdn.net/v/t39.2147-6/26656120_10156559747091336_675092429988167680_n.jpg?oh=7cd5e32ee39dbea951cfb7088610aa92&oe=5ADD8576	http://fxn.ws/2E4PilC	fxn.ws	2018-01-23T18:41:15+0000	1516732875	"2018-01-23 19:41:15"	492	1052	3058	1522	5632
video	post_page_15704546335	15704546335_10156559614016336	https://www.facebook.com/15704546335/posts/10156559614016336	"UPDATE: 2 dead  19 injured in Kentucky school shooting; 15-year-old suspect in custody  officials say.  Officials hold a news conference after at least one person was killed and several others were injured when a shooter opened fire at Marshall County High School. http://fxn.ws/2E4PilC (Courtesy: KFVS  WZTV)"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/26702591_10156559692936336_5243958809885409280_n.jpg?oh=c74c0071e13205cb4eb57d8e49b5d84f&oe=5AEC18EA	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/26702591_10156559692936336_5243958809885409280_n.jpg?oh=4a2568b429db949f0dc2388cdb3f7ddf&oe=5ADD6C18	https://www.facebook.com/FoxNews/videos/10156559614016336/	facebook.com	2018-01-23T18:27:45+0000	1516732065	"2018-01-23 19:27:45"	1062	3033	8110	2307	13450
link	post_page_15704546335	15704546335_10156559548046336	https://www.facebook.com/15704546335/posts/10156559548046336	"NFL spokesman Brian McCarthy said that the NFL asked AMVETs to consider using the words  Please Honor our Veterans  or  Please Stand for Our Veterans  instead  however  the group rejected their modification."	https://scontent.xx.fbcdn.net/v/t39.2147-6/c32.0.130.130/p130x130/26911805_10156559546931336_1770505898754572288_n.jpg?oh=a5cb3b1f11091fba126ff9d8fc85a54d&oe=5B21D1E8	https://scontent.xx.fbcdn.net/v/t39.2147-6/26911805_10156559546931336_1770505898754572288_n.jpg?oh=07ff90ad2e28604c78e3430c41cd0f95&oe=5AEB10BB	http://www.foxnews.com/entertainment/2018/01/23/nfl-rejects-veteran-submitted-please-stand-super-bowl-lii-ad-for-being-too-political.html	foxnews.com	2018-01-23T17:48:52+0000	1516729732	"2018-01-23 18:48:52"	3600	6815	19399	6805	33019
link	post_page_15704546335	15704546335_10156559351741336	https://www.facebook.com/15704546335/posts/10156559351741336	"OPINION:  Time’s up for inaction and posturing   Penny Young Nance wrote in a recent op-ed."	https://scontent.xx.fbcdn.net/v/t39.2147-6/c58.0.130.130/p130x130/26656123_10156559348596336_8234741531060207616_n.jpg?oh=d9740609f96aa1dfed3eb4767e1a41c4&oe=5B25D6AA	https://scontent.xx.fbcdn.net/v/t39.2147-6/26656123_10156559348596336_8234741531060207616_n.jpg?oh=1ca6ad65650e11710358d41279e50fcb&oe=5AEEF2C9	http://www.foxnews.com/opinion/2018/01/23/dear-congress-wearing-black-to-state-union-helps-no-one-lets-have-some-action.html	foxnews.com	2018-01-23T17:32:54+0000	1516728774	"2018-01-23 18:32:54"	2390	422	2670	535	3627
link	post_page_15704546335	15704546335_10156559388431336	https://www.facebook.com/15704546335/posts/10156559388431336	"Can you?"	https://external.xx.fbcdn.net/safe_image.php?d=AQDr7ixwojj9HGCE&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fhealth%2F2018%2F01%2F23%2Fone-third-americans-cant-eat-without-their-cellphones-study-finds%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516723048985.jpg%3Fve%3D1&cfs=1&_nc_hash=AQBdJvTlY-gV83O2	https://external.xx.fbcdn.net/safe_image.php?d=AQAWlWpfYO2jsELg&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fhealth%2F2018%2F01%2F23%2Fone-third-americans-cant-eat-without-their-cellphones-study-finds%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516723048985.jpg%3Fve%3D1&_nc_hash=AQCfjqNINWRzbcCB	http://www.foxnews.com/health/2018/01/23/one-third-americans-cant-eat-without-their-cellphones-study-finds.html	foxnews.com	2018-01-23T17:00:49+0000	1516726849	"2018-01-23 18:00:49"	415	1076	1107	376	2559
link	post_page_15704546335	15704546335_10156559338726336	https://www.facebook.com/15704546335/posts/10156559338726336	"JUST IN: The five employees reported missing after an Oklahoma rig explosion on Monday are presumed dead  officials said on Tuesday."	https://external.xx.fbcdn.net/safe_image.php?d=AQCtY42MFpOr7MFR&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Fdam%2Ffox-news%2Fimages%2F2018%2F01%2F23%2Fokrigexplosion.jpg.img.png%2F0%2F0%2F1516726022135.png%3Fve%3D1&cfs=1&_nc_hash=AQC_fySS97eM3Nn-	https://external.xx.fbcdn.net/safe_image.php?d=AQB1AIW3zDnYe9SS&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Fdam%2Ffox-news%2Fimages%2F2018%2F01%2F23%2Fokrigexplosion.jpg.img.png%2F0%2F0%2F1516726022135.png%3Fve%3D1&_nc_hash=AQCdFR8yjHUqNUuG	http://www.foxnews.com/us/2018/01/23/5-missing-employees-after-oklahoma-rig-explosion-presumed-dead-official-says.html	foxnews.com	2018-01-23T16:44:04+0000	1516725844	"2018-01-23 17:44:04"	339	637	2408	359	3404
video	post_page_15704546335	15704546335_10156559162036336	https://www.facebook.com/15704546335/posts/10156559162036336	"Central Intelligence Agency (CIA)  Director Mike Pompeo discusses pressing national security challenges faced by the United States."	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/22491153_10156559219211336_774590686044356608_n.jpg?oh=e8ada7e52edf510865768342e964ab02&oe=5AE79F4F	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/22491153_10156559219211336_774590686044356608_n.jpg?oh=18ba8207c00a0e3fcfac65dd993f8b83&oe=5AE5866D	https://www.facebook.com/FoxNews/videos/10156559162036336/	facebook.com	2018-01-23T16:03:51+0000	1516723431	"2018-01-23 17:03:51"	1961	5843	2942	824	9609
photo	post_page_15704546335	15704546335_10156558944061336	https://www.facebook.com/15704546335/posts/10156558944061336	"Earlier  Vice President Mike Pence visited the Western Wall in Jerusalem."	https://scontent.xx.fbcdn.net/v/t1.0-0/q84/s130x130/26815148_10156558944061336_5523835325441385629_n.jpg?oh=db989c1d78b0dbde2fad3c34924e5a7b&oe=5AEA7304	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/26952434_10156558944061336_5523835325441385629_o.jpg?oh=a519c7c98aa7ef3c0aed83fe7595848a&oe=5AE8451D	https://www.facebook.com/FoxNews/photos/a.184044921335.134777.15704546335/10156558944061336/?type=3	facebook.com	2018-01-23T15:31:31+0000	1516721491	"2018-01-23 16:31:31"	10318	2485	12746	529	15760
link	post_page_15704546335	15704546335_10156559010351336	https://www.facebook.com/15704546335/posts/10156559010351336	"JUST IN: Kentucky Gov. Matt Bevin confirmed a school shooting at Marshall County High School in Benton  Ky.  has left at least one dead and multiple others wounded. The suspect is in custody."	https://external.xx.fbcdn.net/safe_image.php?d=AQBpRr1ZkzFAwVp4&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fus%2F2018%2F01%2F23%2Fkentucky-high-school-shooting-leaves-at-least-one-dead-and-multiple-wounded-officials-say%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516720059373.jpg%3Fve%3D1&cfs=1&_nc_hash=AQAokL6t5pVMjhU2	https://external.xx.fbcdn.net/safe_image.php?d=AQAQcnBJxBJLe5lt&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fus%2F2018%2F01%2F23%2Fkentucky-high-school-shooting-leaves-at-least-one-dead-and-multiple-wounded-officials-say%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516720059373.jpg%3Fve%3D1&_nc_hash=AQDhpMrm94sZYTKW	http://www.foxnews.com/us/2018/01/23/kentucky-high-school-shooting-leaves-at-least-one-dead-and-multiple-wounded-officials-say.html	foxnews.com	2018-01-23T14:59:38+0000	1516719578	"2018-01-23 15:59:38"	867	2297	4915	1935	9147
link	post_page_15704546335	15704546335_10156558757476336	https://www.facebook.com/15704546335/posts/10156558757476336	"Kid Rock donates money raised from political merchandise to CRNC Action  an affiliate of the College Republican National Committee."	https://external.xx.fbcdn.net/safe_image.php?d=AQBkBqLGxTp4dKgA&w=130&h=130&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fentertainment%2F2018%2F01%2F22%2Fkid-rock-donates-merchandise-money-for-voter-registration%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516631022530.jpg%3Fve%3D1&cfs=1&sx=47&sy=0&sw=470&sh=470&_nc_hash=AQBCrHaOe8-2e05N	https://external.xx.fbcdn.net/safe_image.php?d=AQAV-M8AwSkA6ULK&url=http%3A%2F%2Fa57.foxnews.com%2Fimages.foxnews.com%2Fcontent%2Ffox-news%2Fentertainment%2F2018%2F01%2F22%2Fkid-rock-donates-merchandise-money-for-voter-registration%2F_jcr_content%2Fpar%2Ffeatured_image%2Fmedia-0.img.jpg%2F0%2F0%2F1516631022530.jpg%3Fve%3D1&_nc_hash=AQC6kmCp-bg6q7Uj	http://www.foxnews.com/entertainment/2018/01/22/kid-rock-donates-merchandise-money-for-voter-registration.html	foxnews.com	2018-01-23T14:30:28+0000	1516717828	"2018-01-23 15:30:28"	8591	1250	9610	509	11369
